"","yrs","ages","vals","model","var_param","species","sd"
"38295",15,7,0.761464127961324,"2D_AR1","Marginal","atkamack",0.0190310351892665
"38296",16,7,0.840523452167296,"2D_AR1","Marginal","atkamack",0.0241277544691858
"38297",17,7,0.78922277746699,"2D_AR1","Marginal","atkamack",0.0264426440527024
"38298",18,7,0.748172026661879,"2D_AR1","Marginal","atkamack",0.0286658324341925
"38299",19,7,0.70701188585618,"2D_AR1","Marginal","atkamack",0.0338193278047294
"38300",20,7,0.771922241881843,"2D_AR1","Marginal","atkamack",0.0306557656461698
"38301",21,7,0.964956369595117,"2D_AR1","Marginal","atkamack",0.0378806309498165
"38302",22,7,0.771434747993252,"2D_AR1","Marginal","atkamack",0.0422313680187825
"38303",23,7,0.98323600144428,"2D_AR1","Marginal","atkamack",0.0107014242233344
"38304",24,7,0.84856224500851,"2D_AR1","Marginal","atkamack",0.0174646016058927
"38305",25,7,0.830656146630505,"2D_AR1","Marginal","atkamack",0.020544588077497
"38306",26,7,0.723896503230862,"2D_AR1","Marginal","atkamack",0.0228732663050961
"38307",27,7,0.731333161191169,"2D_AR1","Marginal","atkamack",0.0237606515995133
"38308",28,7,0.804949612400887,"2D_AR1","Marginal","atkamack",0.0277957972237416
"38309",29,7,0.957309145262169,"2D_AR1","Marginal","atkamack",0.0397239150272562
"38310",30,7,0.717915594845264,"2D_AR1","Marginal","atkamack",0.0475430443876985
"38311",31,7,0.776752428858871,"2D_AR1","Marginal","atkamack",0.0388935918774606
"38312",32,7,0.703316006161396,"2D_AR1","Marginal","atkamack",0.042048486180547
"38313",33,7,0.745409455983734,"2D_AR1","Marginal","atkamack",0.0114866873678297
"38314",34,7,0.754355308371434,"2D_AR1","Marginal","atkamack",0.0169123093758572
"38315",35,7,0.80247296176932,"2D_AR1","Marginal","atkamack",0.0214919828764135
"38316",36,7,0.77147725914626,"2D_AR1","Marginal","atkamack",0.0234682741545201
"38317",37,7,0.823531964826916,"2D_AR1","Marginal","atkamack",0.0259923486562954
"38318",38,7,0.83658735326864,"2D_AR1","Marginal","atkamack",0.0273909341018799
"38319",39,7,0.736041642362092,"2D_AR1","Marginal","atkamack",0.0300824109943862
"38320",40,7,0.721482308049805,"2D_AR1","Marginal","atkamack",0.0353062997244124
"38321",41,7,0.796705700714934,"2D_AR1","Marginal","atkamack",0.0356089547452839
"38322",42,7,0.819371557129532,"2D_AR1","Marginal","atkamack",0.0410326633122499
"38323",43,7,0.842862607909511,"2D_AR1","Marginal","atkamack",0.0106955994704292
"38324",1,8,0.762649467958758,"2D_AR1","Marginal","atkamack",0.0187536797242964
"38325",2,8,0.427571641523723,"2D_AR1","Marginal","atkamack",0.0232944664750644
"38326",3,8,0.771815495336919,"2D_AR1","Marginal","atkamack",0.0300877703735088
"38327",4,8,0.778845553751286,"2D_AR1","Marginal","atkamack",0.0293763004057551
"38328",5,8,0.778916707632061,"2D_AR1","Marginal","atkamack",0.0321910029304996
"38329",6,8,0.779012135369159,"2D_AR1","Marginal","atkamack",0.0325838765928449
"38330",7,8,0.778022041628034,"2D_AR1","Marginal","atkamack",0.0325396370948765
"38331",8,8,0.91528053220785,"2D_AR1","Marginal","atkamack",0.0506755829096491
"38332",9,8,0.993329685046187,"2D_AR1","Marginal","atkamack",0.0429910515853934
"38333",10,8,0.863178945936289,"2D_AR1","Marginal","atkamack",0.0114532306828695
"38334",11,8,1.05050026597369,"2D_AR1","Marginal","atkamack",0.0166714023470777
"38335",12,8,0.81848735475709,"2D_AR1","Marginal","atkamack",0.0230422650448348
"38336",13,8,0.901148967351778,"2D_AR1","Marginal","atkamack",0.0260846266926372
"38337",14,8,1.07793314577684,"2D_AR1","Marginal","atkamack",0.0305594649128163
"38338",15,8,0.974595675110352,"2D_AR1","Marginal","atkamack",0.0302422111410358
"38339",16,8,0.876613483976554,"2D_AR1","Marginal","atkamack",0.0295013449304572
"38340",17,8,1.00873953361538,"2D_AR1","Marginal","atkamack",0.0333663783549298
"38341",18,8,0.748488172943114,"2D_AR1","Marginal","atkamack",0.0329297576892113
"38342",19,8,0.718867374690673,"2D_AR1","Marginal","atkamack",0.0415867418963321
"38343",20,8,0.799750663233059,"2D_AR1","Marginal","atkamack",0.00929856427549103
"38344",21,8,0.887168516288907,"2D_AR1","Marginal","atkamack",0.0169858376416881
"38345",22,8,0.712792245655256,"2D_AR1","Marginal","atkamack",0.0211250483936067
"38346",23,8,1.13989681482626,"2D_AR1","Marginal","atkamack",0.0256914205207115
"38347",24,8,0.82132057853339,"2D_AR1","Marginal","atkamack",0.0281974859803079
"38348",25,8,0.936759048844215,"2D_AR1","Marginal","atkamack",0.0308347839459609
"38349",26,8,0.79001839992305,"2D_AR1","Marginal","atkamack",0.0312679954431538
"38350",27,8,0.673186241863307,"2D_AR1","Marginal","atkamack",0.0322543465339421
"38351",28,8,0.736820089402714,"2D_AR1","Marginal","atkamack",0.0340491237789348
"38352",29,8,1.13885637218979,"2D_AR1","Marginal","atkamack",0.0343450265221677
"38353",30,8,0.843593410465453,"2D_AR1","Marginal","atkamack",0.00885112972175687
"38354",31,8,0.78958363686412,"2D_AR1","Marginal","atkamack",0.01557826455521
"38355",32,8,0.791112021728466,"2D_AR1","Marginal","atkamack",0.0240389443544819
"38356",33,8,0.770955134631185,"2D_AR1","Marginal","atkamack",0.0247878912867537
"38357",34,8,0.726619370360141,"2D_AR1","Marginal","atkamack",0.0284279221636335
"38358",35,8,0.92151366597617,"2D_AR1","Marginal","atkamack",0.028859042739953
"38359",36,8,0.823664814852253,"2D_AR1","Marginal","atkamack",0.0318052628581731
"38360",37,8,0.802834616066581,"2D_AR1","Marginal","atkamack",0.0304162443555168
"38361",38,8,0.797462020855664,"2D_AR1","Marginal","atkamack",0.0319616619872913
"38362",39,8,0.76851090538775,"2D_AR1","Marginal","atkamack",0.0339409796177657
"38363",40,8,0.767158374840118,"2D_AR1","Marginal","atkamack",0.00953058902345445
"38364",41,8,0.836192047406646,"2D_AR1","Marginal","atkamack",0.019066587196577
"38365",42,8,0.839012848069505,"2D_AR1","Marginal","atkamack",0.027097307099623
"38366",43,8,0.812719083014104,"2D_AR1","Marginal","atkamack",0.0336821315187712
"38367",1,9,0.978923898249368,"2D_AR1","Marginal","atkamack",0.0315959371679933
"38368",2,9,0.943810515927924,"2D_AR1","Marginal","atkamack",0.0322593073471323
"38369",3,9,0.980787150900498,"2D_AR1","Marginal","atkamack",0.0333528334764523
"38370",4,9,0.973141543305003,"2D_AR1","Marginal","atkamack",0.038416590283601
"38371",5,9,0.972757395245831,"2D_AR1","Marginal","atkamack",0.0377586333849599
"38372",6,9,0.972692585868578,"2D_AR1","Marginal","atkamack",0.0377528268017966
"38373",7,9,0.970345748327097,"2D_AR1","Marginal","atkamack",0.00996102749521847
"38374",8,9,0.978335022132157,"2D_AR1","Marginal","atkamack",0.0160909016963684
"38375",9,9,1.01271937153657,"2D_AR1","Marginal","atkamack",0.0217592919888777
"38376",10,9,0.953390512943542,"2D_AR1","Marginal","atkamack",0.0259547684242821
"38377",11,9,1.08117483138571,"2D_AR1","Marginal","atkamack",0.0278223222304264
"38378",12,9,0.857450602239593,"2D_AR1","Marginal","atkamack",0.0300108033528596
"38379",13,9,1.00778765293753,"2D_AR1","Marginal","atkamack",0.0323508888277936
"38380",14,9,1.36977349072087,"2D_AR1","Marginal","atkamack",0.0342764960994314
"38381",15,9,0.758767123405416,"2D_AR1","Marginal","atkamack",0.03703205985666
"38382",16,9,0.905813824843107,"2D_AR1","Marginal","atkamack",0.0397005929759717
"38383",17,9,0.822271266732448,"2D_AR1","Marginal","atkamack",0.0115187795372307
"38384",18,9,0.736273605886443,"2D_AR1","Marginal","atkamack",0.0121226048984322
"38385",19,9,0.646769948902397,"2D_AR1","Marginal","atkamack",0.0257579440860755
"38386",20,9,0.843534143530212,"2D_AR1","Marginal","atkamack",0.0285602627611873
"38387",21,9,0.953089612780309,"2D_AR1","Marginal","atkamack",0.0310898553010212
"38388",22,9,0.798125273688794,"2D_AR1","Marginal","atkamack",0.0359960074472843
"38389",23,9,1.1268863962192,"2D_AR1","Marginal","atkamack",0.0342819890020079
"38390",24,9,0.903940771448132,"2D_AR1","Marginal","atkamack",0.0335333975840188
"38391",25,9,0.920530597136236,"2D_AR1","Marginal","atkamack",0.0342965131219197
"38392",26,9,0.850496838779126,"2D_AR1","Marginal","atkamack",0.0451958535567127
"38393",27,9,0.824693821331816,"2D_AR1","Marginal","atkamack",0.0136818960599499
"38394",28,9,0.908477072313353,"2D_AR1","Marginal","atkamack",0.0242411902378208
"38395",29,9,0.954059373403195,"2D_AR1","Marginal","atkamack",0.0268776999499463
"38396",30,9,0.864133691690987,"2D_AR1","Marginal","atkamack",0.0298584046334981
"38397",31,9,1.189326451595,"2D_AR1","Marginal","atkamack",0.0308832270593841
"38398",32,9,0.798119481698348,"2D_AR1","Marginal","atkamack",0.0349602532929268
"38399",33,9,0.812653400023261,"2D_AR1","Marginal","atkamack",0.0349075852716804
"38400",34,9,0.763479015975053,"2D_AR1","Marginal","atkamack",0.0331012505336988
"38401",35,9,0.913022171406318,"2D_AR1","Marginal","atkamack",0.0388595242985643
"38402",36,9,0.890531694681083,"2D_AR1","Marginal","atkamack",0.0386984998661433
"38403",37,9,0.831337373522075,"2D_AR1","Marginal","atkamack",0.00772462591796452
"38404",38,9,0.928813998824091,"2D_AR1","Marginal","atkamack",0.0161494261598597
"38405",39,9,0.768477130628066,"2D_AR1","Marginal","atkamack",0.0256433811162738
"38406",40,9,0.76298943190907,"2D_AR1","Marginal","atkamack",0.0262804509143059
"38407",41,9,0.812435562593051,"2D_AR1","Marginal","atkamack",0.0286719929064384
"38408",42,9,0.850081439384398,"2D_AR1","Marginal","atkamack",0.0295797242206277
"38409",43,9,0.819957384616473,"2D_AR1","Marginal","atkamack",0.0309058472188007
"38410",1,10,1.06685005977512,"2D_AR1","Marginal","atkamack",0.0322767183653737
"38411",2,10,1.06538738763351,"2D_AR1","Marginal","atkamack",0.0320145579907969
"38412",3,10,1.06885658596992,"2D_AR1","Marginal","atkamack",0.0363494902439977
"38413",4,10,1.067625793415,"2D_AR1","Marginal","atkamack",0.0107852265201482
"38414",5,10,1.06773077167865,"2D_AR1","Marginal","atkamack",0.0194820184343762
"38415",6,10,1.06777878961065,"2D_AR1","Marginal","atkamack",0.023515696689625
"38416",7,10,1.06744268811225,"2D_AR1","Marginal","atkamack",0.0287080846615282
"38417",8,10,1.06739356382278,"2D_AR1","Marginal","atkamack",0.0286538375329591
"38418",9,10,1.07016666672763,"2D_AR1","Marginal","atkamack",0.0297544194024915
"38419",10,10,1.0473366557906,"2D_AR1","Marginal","atkamack",0.0303030765018425
"38420",11,10,1.10126158956537,"2D_AR1","Marginal","atkamack",0.0321584695500394
"38421",12,10,1.0506658546757,"2D_AR1","Marginal","atkamack",0.0320330079080701
"38422",13,10,1.06843545932345,"2D_AR1","Marginal","atkamack",0.0319673311714615
"38423",14,10,1.42389410890649,"2D_AR1","Marginal","atkamack",0.0111221810153283
"38424",15,10,1.00881464657653,"2D_AR1","Marginal","atkamack",0.0196342554642755
"38425",16,10,1.01196454357341,"2D_AR1","Marginal","atkamack",0.0265561118083788
"38426",17,10,1.0029906436163,"2D_AR1","Marginal","atkamack",0.0273343950675489
"38427",18,10,0.920590346181765,"2D_AR1","Marginal","atkamack",0.0317250911937004
"38428",19,10,0.900467326753893,"2D_AR1","Marginal","atkamack",0.0327730085585779
"38429",20,10,0.97315373597289,"2D_AR1","Marginal","atkamack",0.0332593252529534
"38430",21,10,1.09546317147384,"2D_AR1","Marginal","atkamack",0.034887359011956
"38431",22,10,0.858639910088801,"2D_AR1","Marginal","atkamack",0.0337902153149135
"38432",23,10,0.970571254969136,"2D_AR1","Marginal","atkamack",0.0360768780760582
"38433",24,10,0.984054014431559,"2D_AR1","Marginal","atkamack",0.01264223768754
"38434",25,10,1.09478738379741,"2D_AR1","Marginal","atkamack",0.0218127185969271
"38435",26,10,0.942605461148338,"2D_AR1","Marginal","atkamack",0.0293069180924274
"38436",27,10,0.988847629859916,"2D_AR1","Marginal","atkamack",0.0312245241830638
"38437",28,10,1.01206793387149,"2D_AR1","Marginal","atkamack",0.0298242469573097
"38438",29,10,1.01019929927546,"2D_AR1","Marginal","atkamack",0.0327697287710329
"38439",30,10,0.976175732869128,"2D_AR1","Marginal","atkamack",0.0341478227235687
"38440",31,10,1.04650507990581,"2D_AR1","Marginal","atkamack",0.0349247713767486
"38441",32,10,0.981959660345019,"2D_AR1","Marginal","atkamack",0.0354469359548966
"38442",33,10,0.817728555547785,"2D_AR1","Marginal","atkamack",0.0352034560438653
"38443",34,10,0.803474410890904,"2D_AR1","Marginal","atkamack",0.0183584959985116
"38444",35,10,0.90178333508471,"2D_AR1","Marginal","atkamack",0.0253484742782537
"38445",36,10,0.950509872511999,"2D_AR1","Marginal","atkamack",0.0281754088749521
"38446",37,10,1.07023948290033,"2D_AR1","Marginal","atkamack",0.0323196420402633
"38447",38,10,0.929575534473446,"2D_AR1","Marginal","atkamack",0.0328919014197228
"38448",39,10,0.860066142078886,"2D_AR1","Marginal","atkamack",0.0314234833818284
